tema,indicador,anio,sexo,disc,entidad,rango_edad,num,den,casos,fuente,universo,encuesta
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Aguascalientes,18-29,2065.0,3461.0,208.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Aguascalientes,30-44,3323.0,5243.0,322.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Aguascalientes,45-59,4189.0,6333.0,459.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Aguascalientes,60+,3150.0,13270.0,995.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California,18-29,3777.0,8010.0,170.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California,30-44,6064.0,9875.0,205.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California,45-59,9547.0,15222.0,352.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California,60+,6468.0,29937.0,653.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California Sur,18-29,639.0,1233.0,71.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California Sur,30-44,1307.0,1996.0,121.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California Sur,45-59,2086.0,3105.0,190.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Baja California Sur,60+,1606.0,6334.0,415.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Campeche,18-29,926.0,2019.0,169.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Campeche,30-44,1432.0,2332.0,231.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Campeche,45-59,2915.0,4824.0,419.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Campeche,60+,3646.0,11431.0,1095.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chiapas,18-29,3107.0,8941.0,1932.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chiapas,30-44,6161.0,11129.0,2363.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chiapas,45-59,10511.0,17635.0,3449.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chiapas,60+,15054.0,49681.0,10325.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chihuahua,18-29,2312.0,6278.0,476.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chihuahua,30-44,4128.0,7379.0,701.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chihuahua,45-59,8960.0,15419.0,1353.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Chihuahua,60+,6688.0,32345.0,4275.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Ciudad de México,18-29,8075.0,18269.0,546.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Ciudad de México,30-44,14408.0,22825.0,718.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Ciudad de México,45-59,27164.0,41893.0,1277.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Ciudad de México,60+,26243.0,103507.0,2978.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Coahuila,18-29,1751.0,4932.0,370.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Coahuila,30-44,4618.0,7443.0,585.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Coahuila,45-59,6514.0,12133.0,1061.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Coahuila,60+,4470.0,27202.0,2561.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,18-29,432.0,1195.0,120.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,30-44,1197.0,2026.0,193.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,45-59,1856.0,3275.0,311.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Colima,60+,1863.0,8441.0,868.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,18-29,1760.0,4147.0,524.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,30-44,3034.0,5311.0,742.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,45-59,4342.0,7987.0,1176.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Durango,60+,4023.0,21066.0,3661.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
trabajo,Población ocupada,2020,Hombres,Con discapacidad,Guanajuato,18-29,6193.0,12356.0,826.0,"Censo de Población y Vivienda, cuestionario ampliado (INEGI)",Personas de 18 años o más,censo
